20180826,黄埔,高唐,万科云城米酷,1室1厅,35平米,3500
20180826,黄埔,高唐,万科云城米酷,1室0厅,18平米,1399
20180826,黄埔,高唐,万科云城米酷,1室1厅,25平米,2300
20180826,黄埔,高唐,万科云城米酷,2室1厅,35平米,3600
20180826,黄埔,高唐,万科云城米酷,1室0厅,18平米,1400
20180826,黄埔,高唐,万科云城米酷,1室1厅,18平米,1800
20180826,黄埔,高唐,万科云城米酷,1室0厅,18平米,1600
20180826,黄埔,高唐,万科云城米酷,1室1厅,26平米,2200
20180826,黄埔,高唐,万科云城米酷,1室1厅,25平米,2000
20180826,黄埔,高唐,万科云城米酷,1室1厅,35平米,3700
20180826,黄埔,高唐,万科云城米酷,1室0厅,18平米,1500
20180826,黄埔,高唐,万科云城米酷,1室1厅,70平米,3600
20180826,黄埔,高唐,万科云城米酷,2室1厅,35平米,3650
20180826,黄埔,高唐,万科云城米酷,1室2厅,35平米,3800
